year,appeared_total,passed_total,pass_percentage,appeared_boys,passed_boys,boys_pass_percentage,appeared_girls,passed_girls,girls_pass_percentage,source_class,source_url,local_pdf_path,notes
2020,779931,720209,92.34,,,"89.41",,,"94.80",third_party_pdf,https://www.padasalai.net/2020/07/12th-public-exam-march-2020-analysis.html,result_analysis_docs/pdfs/hse_plus2_result_analysis_2020_padasalai_drive.pdf,"Public Google Drive PDF linked by Padasalai; official DGE public S3 PDF not found."
2021,816473,816473,100.00,,,,,,covid_special_summary,,,"COVID special evaluation year; normal public exam-style analysis document not found."
2022,806277,755998,93.76,384655,349893,90.96,421822,406105,96.32,third_party_summary,https://www.kalviexpress.in/2022/06/hsc-sslc-result-analysis-2022.html,,"Kalviexpress summary links a Box PDF; direct PDF download was not accessible without Box web flow."
2023,803385,755451,94.03,382371,349607,91.45,421013,405753,96.38,third_party_pdf,https://www.kalviexpress.in/2023/05/12th-exam-result-analysis-2023.html,result_analysis_docs/pdfs/hse_plus2_result_analysis_2023_kalviexpress_drive.pdf,"Public Google Drive PDF linked by Kalviexpress; TNTA also links result analysis and state statistics PDFs."
2024,760606,719196,94.56,352165,325305,92.37,408440,393890,96.44,official_pdf,https://tnegadge.s3.ap-south-1.amazonaws.com/Result-Analysis/2024/Hr_sec_Second_Year_March_2024_Result_Analysis_Final.pdf,result_analysis_docs/pdfs/hse_plus2_result_analysis_2024_official.pdf,"Official DGE/TNEGADGE S3 PDF."
2025,792494,753142,95.03,373178,347670,93.16,419316,405472,96.70,official_pdf,https://tnegadge.s3.ap-south-1.amazonaws.com/Result-Analysis/2025/Final_HSE2_Result_Analysis_2025_060525.pdf,result_analysis_docs/pdfs/hse_plus2_result_analysis_2025_official.pdf,"Official DGE/TNEGADGE S3 PDF."
