year,total_students,rank_min,rank_max,aggregate_mark_min,aggregate_mark_max
2020,110873,1,110873,77.5,199.6667
2021,136973,1,136973,77.5,200
2022,156278,1,156278,77.5,200
2023,176744,1,176744,77.5,200
2024,197601,1,197601,77.5,200
2025,239299,1,239299,77.500,200.000
