sl_no,district,tfc_number,centre_name,address,full_address,search_query,google_maps_url,latitude,longitude,geocode_provider,geocode_address,geocode_status
78,The Nilgiris,26,"Government Arts College, Udhagamandalam",- 643002. The Nilgiris.,"Government Arts College, Udhagamandalam - 643002. The Nilgiris.","Government Arts College, Udhagamandalam - 643002. The Nilgiris., Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Arts+College%2C+Udhagamandalam+-+643002.+The+Nilgiris.%2C+Tamil+Nadu%2C+India,11.4109165,76.7166456,arcgis,Government Arts College,resolved
79,The Nilgiris,85,Government Polytechnic College,"Udhagamandalam, Finger Post, Ooty, The, Nilgiris643006","Government Polytechnic College, Udhagamandalam, Finger Post, Ooty, The Nilgiris643006","Government Polytechnic College, Udhagamandalam, Finger Post, Ooty, The Nilgiris643006, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Udhagamandalam%2C+Finger+Post%2C+Ooty%2C+The+Nilgiris643006%2C+Tamil+Nadu%2C+India,11.420334,76.676653,arcgis,Udagamandalam Government Polytechnic College,resolved
80,Theni,35,Government College of Engineering,Bodinayakkanur-Theni District 625582,"Government College of Engineering, Bodinayakkanur-Theni District 625582","Government College of Engineering, Bodinayakkanur-Theni District 625582, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+College+of+Engineering%2C+Bodinayakkanur-Theni+District+625582%2C+Tamil+Nadu%2C+India,9.994671,77.349313,arcgis,Government Engineering Collage,resolved
81,Theni,93,"Government Polytechnic College, Theni -",625534,"Government Polytechnic College, Theni - 625534","Government Polytechnic College, Theni - 625534, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Theni+-+625534%2C+Tamil+Nadu%2C+India,9.956787,77.533852,arcgis,Government Polytechnic College,resolved
82,Theni,94,"Government Polytechnic College,Aundipatti-",625517,"Government Polytechnic College,Aundipatti- 625517","Government Polytechnic College,Aundipatti- 625517, Theni, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2CAundipatti-+625517%2C+Theni%2C+Tamil+Nadu%2C+India,9.956787,77.533852,arcgis,Government Polytechnic College,resolved
83,Thiruvallur,9,Murugappa Polytechnic College,"Sathyamurthy Nagar, Avadi, Chennai -, 600062","Murugappa Polytechnic College, Sathyamurthy Nagar, Avadi, Chennai - 600062","Murugappa Polytechnic College, Sathyamurthy Nagar, Avadi, Chennai - 600062, Thiruvallur, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Murugappa+Polytechnic+College%2C+Sathyamurthy+Nagar%2C+Avadi%2C+Chennai+-+600062%2C+Thiruvallur%2C+Tamil+Nadu%2C+India,13.1722355,80.1060797,arcgis,"600062, Ambattur, Tamil Nadu",resolved
84,Thiruvallur,10,Loganatha Narayanasamy Government,"College (A), Ponneri","Loganatha Narayanasamy Government College (A), Ponneri","Loganatha Narayanasamy Government College (A), Ponneri, Thiruvallur, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Loganatha+Narayanasamy+Government+College+%28A%29%2C+Ponneri%2C+Thiruvallur%2C+Tamil+Nadu%2C+India,13.3306445,80.1951644,arcgis,Loganathan Narayanasamy Government College,resolved
85,Thiruvallur,96,"Government Polytechnic College, Sevapettai",Thiruvallur. 602025,"Government Polytechnic College, Sevapettai, Thiruvallur. 602025","Government Polytechnic College, Sevapettai, Thiruvallur. 602025, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Sevapettai%2C+Thiruvallur.+602025%2C+Tamil+Nadu%2C+India,13.1272,79.9694,arcgis,"602025, Sevvapettai, Tiruvallur, Tamil Nadu",resolved
86,Thiruvallur,97,AMK Technological Polytechnic College,"Chennai-Banglore High Road, Sembarambakkam-600123","AMK Technological Polytechnic College, Chennai-Banglore High Road, Sembarambakkam-600123","AMK Technological Polytechnic College, Chennai-Banglore High Road, Sembarambakkam-600123, Thiruvallur, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=AMK+Technological+Polytechnic+College%2C+Chennai-Banglore+High+Road%2C+Sembarambakkam-600123%2C+Thiruvallur%2C+Tamil+Nadu%2C+India,13.036677,80.052371,arcgis,Amk Technological Polytechnic College,resolved
87,Thiruvarur,44,"Government Polytechnic College, Thozhuvur","Colony, Valangaiman. Thiruvarur District. Pin, - 612804","Government Polytechnic College, Thozhuvur Colony, Valangaiman. Thiruvarur District. Pin - 612804","Government Polytechnic College, Thozhuvur Colony, Valangaiman. Thiruvarur District. Pin - 612804, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Thozhuvur+Colony%2C+Valangaiman.+Thiruvarur+District.+Pin+-+612804%2C+Tamil+Nadu%2C+India,10.889647,79.393555,arcgis,"612804, Valangiman, Tamil Nadu",resolved
