sl_no,district,tfc_number,centre_name,address,full_address,search_query,google_maps_url,latitude,longitude,geocode_provider,geocode_address,geocode_status
1,Ariyalur,39,Government Polytechnic College Keelapalur,Ariyalur- 621707,"Government Polytechnic College Keelapalur, Ariyalur- 621707","Government Polytechnic College Keelapalur, Ariyalur- 621707, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+Keelapalur%2C+Ariyalur-+621707%2C+Tamil+Nadu%2C+India,11.005178,79.070696,arcgis,"621707, Ariyalur, Tamil Nadu",resolved
2,Ariyalur,53,University College of Engineering Ariyalur,"Kathankudikadu Village, Thelur Post, Ariyalur, - 621731","University College of Engineering Ariyalur, Kathankudikadu Village, Thelur Post, Ariyalur - 621731","University College of Engineering Ariyalur, Kathankudikadu Village, Thelur Post, Ariyalur - 621731, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Ariyalur%2C+Kathankudikadu+Village%2C+Thelur+Post%2C+Ariyalur+-+621731%2C+Tamil+Nadu%2C+India,11.091133,79.159617,arcgis,"621731, Ariyalur, Tamil Nadu",resolved
3,Chengalpattu,7,Government Polytechnic College,"Bharathamadha Street Bharathipuram, Chromepet Chennai 600044",Government Polytechnic College Bharathamadha Street Bharathipuram Chromepet Chennai 600044,"Government Polytechnic College Bharathamadha Street Bharathipuram Chromepet Chennai 600044, Chengalpattu, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+Bharathamadha+Street+Bharathipuram+Chromepet+Chennai+600044%2C+Chengalpattu%2C+Tamil+Nadu%2C+India,12.9560091,80.1435322,arcgis,"600044, Chromepet, Tamil Nadu",resolved
4,Chengalpattu,54,University Departments of Anna University,"Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District - 600, 044","University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District - 600044","University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District - 600044, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+Departments+of+Anna+University%2C+Chennai+-+MIT+Campus%2C+Chrompet%2C+Tambaram+Taluk%2C+Chengalpattu+District+-+600044%2C+Tamil+Nadu%2C+India,12.9560091,80.1435322,arcgis,"600044, Chromepet, Tamil Nadu",resolved
5,Chennai,1,"Central Polytechnic College, CIT Campus","Tharamani, Chennai - 600113. (Integerated, Workshop)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Integerated Workshop)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Integerated Workshop), Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Central+Polytechnic+College%2C+CIT+Campus+Tharamani%2C+Chennai+-+600113.+%28Integerated+Workshop%29%2C+Tamil+Nadu%2C+India,12.9952,80.244,arcgis,"600113, CIT Campus, Indian Institute Of Technology, Tharamani, Chennai, Tamil Nadu",resolved
6,Chennai,2,"Central Polytechnic College, CIT Campus","Tharamani, Chennai - 600113. (Integerated, Workshop)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Integerated Workshop)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Integerated Workshop), Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Central+Polytechnic+College%2C+CIT+Campus+Tharamani%2C+Chennai+-+600113.+%28Integerated+Workshop%29%2C+Tamil+Nadu%2C+India,12.9952,80.244,arcgis,"600113, CIT Campus, Indian Institute Of Technology, Tharamani, Chennai, Tamil Nadu",resolved
7,Chennai,3,"Institute of Chemical Technology, CIT","Campus, Tharamani Chennai-600113","Institute of Chemical Technology, CIT Campus, Tharamani Chennai-600113","Institute of Chemical Technology, CIT Campus, Tharamani Chennai-600113, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Institute+of+Chemical+Technology%2C+CIT+Campus%2C+Tharamani+Chennai-600113%2C+Tamil+Nadu%2C+India,13.0048983,80.244919,arcgis,"600113, Tharamani, Tamil Nadu",resolved
8,Chennai,4,"Central Polytechnic College, CIT Campus","Tharamani, Chennai - 600113. (Auditorium)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Auditorium)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Auditorium), Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Central+Polytechnic+College%2C+CIT+Campus+Tharamani%2C+Chennai+-+600113.+%28Auditorium%29%2C+Tamil+Nadu%2C+India,12.999121,80.247471,arcgis,Central Polytechnic College,resolved
9,Chennai,5,"Government Polytechnic College, R.K.Nagar",Chennai-600081,"Government Polytechnic College, R.K.Nagar, Chennai-600081","Government Polytechnic College, R.K.Nagar, Chennai-600081, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+R.K.Nagar%2C+Chennai-600081%2C+Tamil+Nadu%2C+India,13.136351,80.288951,arcgis,Govt Polytechnic College,resolved
10,Chennai,6,Government Polytechnic College,"No.1,Subbarayan Main Steet, Nammalvarpet, Purasawalkam, Chennai - 600012","Government Polytechnic College, No.1,Subbarayan Main Steet, Nammalvarpet, Purasawalkam, Chennai - 600012","Government Polytechnic College, No.1,Subbarayan Main Steet, Nammalvarpet, Purasawalkam, Chennai - 600012, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+No.1%2CSubbarayan+Main+Steet%2C+Nammalvarpet%2C+Purasawalkam%2C+Chennai+-+600012%2C+Tamil+Nadu%2C+India,13.0971409,80.2568073,arcgis,"600012, Otteri, Tamil Nadu",resolved
11,Chennai,55,"Institute of Textile Technology,Chennai-",600113,"Institute of Textile Technology,Chennai- 600113","Institute of Textile Technology,Chennai- 600113, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Institute+of+Textile+Technology%2CChennai-+600113%2C+Tamil+Nadu%2C+India,12.997063,80.248347,arcgis,Institute of Textile Technology,resolved
12,Chennai,56,"Institute of Printing Technology, Chennai -",600113.,"Institute of Printing Technology, Chennai - 600113.","Institute of Printing Technology, Chennai - 600113., Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Institute+of+Printing+Technology%2C+Chennai+-+600113.%2C+Tamil+Nadu%2C+India,12.998191,80.247591,arcgis,Institute of Printing Technology,resolved
13,Chennai,57,"State Institute of Commerce Education, CIT","Campus, Tharamani, Chennai-600113","State Institute of Commerce Education, CIT Campus, Tharamani, Chennai-600113","State Institute of Commerce Education, CIT Campus, Tharamani, Chennai-600113, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=State+Institute+of+Commerce+Education%2C+CIT+Campus%2C+Tharamani%2C+Chennai-600113%2C+Tamil+Nadu%2C+India,12.994211,80.248021,arcgis,State Institute Of Commerce Education,resolved
14,Chennai,58,University Departments of Anna University,"Chennai -CEG Campus, Sardar Patel Road, Guindy, Chennai - 25","University Departments of Anna University, Chennai -CEG Campus, Sardar Patel Road, Guindy, Chennai - 25","University Departments of Anna University, Chennai -CEG Campus, Sardar Patel Road, Guindy, Chennai - 25, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+Departments+of+Anna+University%2C+Chennai+-CEG+Campus%2C+Sardar+Patel+Road%2C+Guindy%2C+Chennai+-+25%2C+Tamil+Nadu%2C+India,13.009932,80.234121,arcgis,Anna University,resolved
15,Chennai,102,Dr.Dharamambal Government Polytechnic,"College For Women, Tharamani, Chennai -, 600113.","Dr.Dharamambal Government Polytechnic College For Women, Tharamani, Chennai - 600113.","Dr.Dharamambal Government Polytechnic College For Women, Tharamani, Chennai - 600113., Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Dr.Dharamambal+Government+Polytechnic+College+For+Women%2C+Tharamani%2C+Chennai+-+600113.%2C+Tamil+Nadu%2C+India,13.0048983,80.244919,arcgis,"600113, Tharamani, Tamil Nadu",resolved
16,Coimbatore,22,Government College of Technology,Coimbatore - 641013,"Government College of Technology, Coimbatore - 641013","Government College of Technology, Coimbatore - 641013, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+College+of+Technology%2C+Coimbatore+-+641013%2C+Tamil+Nadu%2C+India,11.0181432,76.9359635,arcgis,Government College of Technology Coimbatore,resolved
17,Coimbatore,23,Government Polytechnic College For,"Women, Coimbatore","Government Polytechnic College For Women, Coimbatore","Government Polytechnic College For Women, Coimbatore, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+For+Women%2C+Coimbatore%2C+Tamil+Nadu%2C+India,11.016261,76.976717,arcgis,Government Polytechnic College For Women,resolved
18,Coimbatore,24,"Coimbatore Institute of Technology, Civil","Aerodrome Post, Peelamedu, Coimbatore -, 14","Coimbatore Institute of Technology, Civil Aerodrome Post, Peelamedu, Coimbatore - 14","Coimbatore Institute of Technology, Civil Aerodrome Post, Peelamedu, Coimbatore - 14, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Coimbatore+Institute+of+Technology%2C+Civil+Aerodrome+Post%2C+Peelamedu%2C+Coimbatore+-+14%2C+Tamil+Nadu%2C+India,11.029078,77.026502,arcgis,Coimbatore Institute of Technology,resolved
19,Coimbatore,60,Government Polytechnic College,Coimbatore - 641014,"Government Polytechnic College, Coimbatore - 641014","Government Polytechnic College, Coimbatore - 641014, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Coimbatore+-+641014%2C+Tamil+Nadu%2C+India,11.0318393,77.0299295,arcgis,Government Polytechnic College,resolved
20,Coimbatore,61,"PSG College of Technology, Peelamedu",Coimbatore 641004,"PSG College of Technology, Peelamedu, Coimbatore 641004","PSG College of Technology, Peelamedu, Coimbatore 641004, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=PSG+College+of+Technology%2C+Peelamedu%2C+Coimbatore+641004%2C+Tamil+Nadu%2C+India,11.0243072,77.0028349,arcgis,PSG College Of Technology,resolved
21,Coimbatore,62,Anna University Regional Campus,"Coimbatore, Maruthamalai Road, Navavoor, Coimbatore - 641046","Anna University Regional Campus Coimbatore, Maruthamalai Road, Navavoor, Coimbatore - 641046","Anna University Regional Campus Coimbatore, Maruthamalai Road, Navavoor, Coimbatore - 641046, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Anna+University+Regional+Campus+Coimbatore%2C+Maruthamalai+Road%2C+Navavoor%2C+Coimbatore+-+641046%2C+Tamil+Nadu%2C+India,11.0385107,76.867777,arcgis,"Maruthamalai Road, Maruthamalai, Coimbatore South, Coimbatore, Tamil Nadu, 641046",resolved
22,Cuddalore,16,Thiru Kolanjiappar Government Arts College,Viruthachlam -606001,"Thiru Kolanjiappar Government Arts College, Viruthachlam -606001","Thiru Kolanjiappar Government Arts College, Viruthachlam -606001, Cuddalore, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Thiru+Kolanjiappar+Government+Arts+College%2C+Viruthachlam+-606001%2C+Cuddalore%2C+Tamil+Nadu%2C+India,11.517144,79.324249,arcgis,"606001, Vridhachalam, Tamil Nadu",resolved
23,Cuddalore,17,Faculty of Engineering and Technology,"Annamalai University, Annamalainagar, Chidambaram-608001, Cuddalore District","Faculty of Engineering and Technology, Annamalai University, Annamalainagar, Chidambaram-608001, Cuddalore District","Faculty of Engineering and Technology, Annamalai University, Annamalainagar, Chidambaram-608001, Cuddalore District, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Faculty+of+Engineering+and+Technology%2C+Annamalai+University%2C+Annamalainagar%2C+Chidambaram-608001%2C+Cuddalore+District%2C+Tamil+Nadu%2C+India,11.400608,79.6750297,arcgis,"608001, Chidambaram, Tamil Nadu",resolved
24,Cuddalore,63,"Government Polytechnic College, Kooduveli",Kattumannarkoil-Tk Pin 608305,"Government Polytechnic College, Kooduveli, Kattumannarkoil-Tk Pin 608305","Government Polytechnic College, Kooduveli, Kattumannarkoil-Tk Pin 608305, Cuddalore, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Kooduveli%2C+Kattumannarkoil-Tk+Pin+608305%2C+Cuddalore%2C+Tamil+Nadu%2C+India,11.3539422,79.5670163,arcgis,"608305, Chidambaram, Tamil Nadu",resolved
25,Cuddalore,64,University College of Engineering Panruti,"Chennai Kumbakonam Highway, Pannikkankuppam, Pincode - 607106","University College of Engineering Panruti, Chennai Kumbakonam Highway, Pannikkankuppam, Pincode - 607106","University College of Engineering Panruti, Chennai Kumbakonam Highway, Pannikkankuppam, Pincode - 607106, Cuddalore, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Panruti%2C+Chennai+Kumbakonam+Highway%2C+Pannikkankuppam%2C+Pincode+-+607106%2C+Cuddalore%2C+Tamil+Nadu%2C+India,11.773343,79.554398,arcgis,"607106, Panruti, Tamil Nadu",resolved
26,Dharmapuri,28,Government College of Engineering,"Chettikarai, Dharmapuri,636704","Government College of Engineering, Chettikarai, Dharmapuri,636704","Government College of Engineering, Chettikarai, Dharmapuri,636704, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+College+of+Engineering%2C+Chettikarai%2C+Dharmapuri%2C636704%2C+Tamil+Nadu%2C+India,12.1247574,78.2354234,arcgis,"636704, Dharmapuri, Tamil Nadu",resolved
27,Dharmapuri,65,Government Polytechnic College,Dharmapuri - 635205.,"Government Polytechnic College, Dharmapuri - 635205.","Government Polytechnic College, Dharmapuri - 635205., Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Dharmapuri+-+635205.%2C+Tamil+Nadu%2C+India,12.246128,78.193491,arcgis,Pee Gee Polytechnic Institute,resolved
28,Dharmapuri,66,"Government Polytechnic College, Kadathur -",635303,"Government Polytechnic College, Kadathur - 635303","Government Polytechnic College, Kadathur - 635303, Dharmapuri, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Kadathur+-+635303%2C+Dharmapuri%2C+Tamil+Nadu%2C+India,12.086217,78.291122,arcgis,"635303, Kadathur, Tamil Nadu",resolved
29,Dharmapuri,67,Government Polytechnic College Palacode -,636808.,Government Polytechnic College Palacode - 636808.,"Government Polytechnic College Palacode - 636808., Dharmapuri, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+Palacode+-+636808.%2C+Dharmapuri%2C+Tamil+Nadu%2C+India,12.297074,78.071922,arcgis,"636808, Palakodu, Tamil Nadu",resolved
30,Dindigul,34,"G.T.N Arts College (Autonomous ), Old Karur","Road, Dindigul-624005.","G.T.N Arts College (Autonomous ), Old Karur Road, Dindigul-624005.","G.T.N Arts College (Autonomous ), Old Karur Road, Dindigul-624005., Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=G.T.N+Arts+College+%28Autonomous+%29%2C+Old+Karur+Road%2C+Dindigul-624005.%2C+Tamil+Nadu%2C+India,10.3828468,77.9918907,arcgis,"Karur Road, Nandhavanappatty, MVM Nagar, Dindigul, Tamil Nadu, 624005",resolved
31,Dindigul,68,University College of Engineering Dindigul &,"Maangaraipirivu, Reddiyarchattram, Dindigul, - 624622","University College of Engineering Dindigul & Maangaraipirivu, Reddiyarchattram, Dindigul - 624622","University College of Engineering Dindigul & Maangaraipirivu, Reddiyarchattram, Dindigul - 624622, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Dindigul+%26+Maangaraipirivu%2C+Reddiyarchattram%2C+Dindigul+-+624622%2C+Tamil+Nadu%2C+India,10.4323349,77.8257772,arcgis,"624622, Dindigul, Tamil Nadu",resolved
32,Dindigul,69,Arulmigu Palaniandavar Polytechnic College,"Dindigul road, Palani-624601","Arulmigu Palaniandavar Polytechnic College, Dindigul road, Palani-624601","Arulmigu Palaniandavar Polytechnic College, Dindigul road, Palani-624601, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Arulmigu+Palaniandavar+Polytechnic+College%2C+Dindigul+road%2C+Palani-624601%2C+Tamil+Nadu%2C+India,10.447881,77.527901,arcgis,Arulmigu Palaniandavar Polytechnic College,resolved
33,Erode,20,Gobi Arts & Science College,"Karattadipalayam Post, Gobichettipalayam-, 638453","Gobi Arts & Science College, Karattadipalayam Post, Gobichettipalayam- 638453","Gobi Arts & Science College, Karattadipalayam Post, Gobichettipalayam- 638453, Erode, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Gobi+Arts+%26+Science+College%2C+Karattadipalayam+Post%2C+Gobichettipalayam-+638453%2C+Erode%2C+Tamil+Nadu%2C+India,11.4065989,77.4226073,arcgis,"638453, Gobichettipalayam, Tamil Nadu",resolved
34,Erode,21,Government Polytechnic College,"Karumandicellipalayam, Sanitorium (Po), Perundurai, Erode (Dt) 638053","Government Polytechnic College, Karumandicellipalayam, Sanitorium (Po), Perundurai, Erode (Dt) 638053","Government Polytechnic College, Karumandicellipalayam, Sanitorium (Po), Perundurai, Erode (Dt) 638053, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Karumandicellipalayam%2C+Sanitorium+%28Po%29%2C+Perundurai%2C+Erode+%28Dt%29+638053%2C+Tamil+Nadu%2C+India,11.2854675,77.5640874,arcgis,"638053, Perundurai, Tamil Nadu",resolved
35,Erode,70,Government College of Engineering(IRTT),Erode-638316,"Government College of Engineering(IRTT), Erode-638316","Government College of Engineering(IRTT), Erode-638316, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+College+of+Engineering%28IRTT%29%2C+Erode-638316%2C+Tamil+Nadu%2C+India,12.547561,78.332441,arcgis,Government College of Engineering,resolved
36,Erode,71,"Sakthi Polytechnic College, Sakthinagar","Appakoodal, Anthiyur Tk, Erode Dt. - 638315","Sakthi Polytechnic College, Sakthinagar, Appakoodal, Anthiyur Tk, Erode Dt. - 638315","Sakthi Polytechnic College, Sakthinagar, Appakoodal, Anthiyur Tk, Erode Dt. - 638315, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Sakthi+Polytechnic+College%2C+Sakthinagar%2C+Appakoodal%2C+Anthiyur+Tk%2C+Erode+Dt.+-+638315%2C+Tamil+Nadu%2C+India,11.491222,77.561977,arcgis,Sakthi Polytechnic College,resolved
37,Kallakurichi,15,Government Polytechnic College,"Kattuvannanjur Village, Sankarapuram Taluk, Kallakurichi District, Pin: 606401","Government Polytechnic College, Kattuvannanjur Village, Sankarapuram Taluk, Kallakurichi District, Pin: 606401","Government Polytechnic College, Kattuvannanjur Village, Sankarapuram Taluk, Kallakurichi District, Pin: 606401, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Kattuvannanjur+Village%2C+Sankarapuram+Taluk%2C+Kallakurichi+District%2C+Pin%3A+606401%2C+Tamil+Nadu%2C+India,11.888388,78.916595,arcgis,"606401, Sankarapuram, Tamil Nadu",resolved
38,Kancheepuram,8,Bhaktavatsalam Polytechnic College,"Karapettai,Kanchipuram-631552","Bhaktavatsalam Polytechnic College, Karapettai,Kanchipuram-631552","Bhaktavatsalam Polytechnic College, Karapettai,Kanchipuram-631552, Kancheepuram, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Bhaktavatsalam+Polytechnic+College%2C+Karapettai%2CKanchipuram-631552%2C+Kancheepuram%2C+Tamil+Nadu%2C+India,12.9426094,79.736552,arcgis,"631552, Kanchipuram, Tamil Nadu",resolved
39,Kancheepuram,72,University College of Engineering,"Kancheepuram, NH-4 Chennai - Bangalore, Highways, Ponnerikkarai, Karaipettai - 631, 552","University College of Engineering Kancheepuram, NH-4 Chennai - Bangalore Highways, Ponnerikkarai, Karaipettai - 631552","University College of Engineering Kancheepuram, NH-4 Chennai - Bangalore Highways, Ponnerikkarai, Karaipettai - 631552, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Kancheepuram%2C+NH-4+Chennai+-+Bangalore+Highways%2C+Ponnerikkarai%2C+Karaipettai+-+631552%2C+Tamil+Nadu%2C+India,12.874513,79.703937,arcgis,Kanchipuram Engineering College,resolved
40,Kanniyakumari,51,"S.T.Hindu College, Nagercoil-2","S.T.Hindu College, Nagercoil-2","S.T.Hindu College, Nagercoil-2","S.T.Hindu College, Nagercoil-2, Kanniyakumari, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=S.T.Hindu+College%2C+Nagercoil-2%2C+Kanniyakumari%2C+Tamil+Nadu%2C+India,8.17899,77.43227,arcgis,"Nāgercoil, Kanniyakumari, Tamil Nādu",resolved
41,Kanniyakumari,83,"Government Polytechnic College, Konam",Nagercoil-629004,"Government Polytechnic College, Konam, Nagercoil-629004","Government Polytechnic College, Konam, Nagercoil-629004, Kanniyakumari, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Konam%2C+Nagercoil-629004%2C+Kanniyakumari%2C+Tamil+Nadu%2C+India,8.1651114,77.4145767,arcgis,Government Poly Technic College,resolved
42,Kanniyakumari,110,University College of Engineering Nagercoil,"Konam, Nagercoil. 629004","University College of Engineering Nagercoil, Konam, Nagercoil. 629004","University College of Engineering Nagercoil, Konam, Nagercoil. 629004, Kanniyakumari, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Nagercoil%2C+Konam%2C+Nagercoil.+629004%2C+Kanniyakumari%2C+Tamil+Nadu%2C+India,8.165487,77.415522,arcgis,University College Of Engineering,resolved
43,Karur,30,Government Arts College (Autonomous),"Thanthonimalai, Karur, 639005","Government Arts College (Autonomous), Thanthonimalai, Karur, 639005","Government Arts College (Autonomous), Thanthonimalai, Karur, 639005, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Arts+College+%28Autonomous%29%2C+Thanthonimalai%2C+Karur%2C+639005%2C+Tamil+Nadu%2C+India,10.9394,78.0899,arcgis,"639005, Thanthondrimalai, Karur, Tamil Nadu",resolved
44,Karur,73,Government Polytechnic College,"Kaniyalampatti,Karur-621301","Government Polytechnic College, Kaniyalampatti,Karur-621301","Government Polytechnic College, Kaniyalampatti,Karur-621301, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Kaniyalampatti%2CKarur-621301%2C+Tamil+Nadu%2C+India,10.773543,78.185352,arcgis,"621301, Kadaur, Tamil Nadu",resolved
45,Krishnagiri,29,Government College of Engineering Bargur -,635104,Government College of Engineering Bargur - 635104,"Government College of Engineering Bargur - 635104, Krishnagiri, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+College+of+Engineering+Bargur+-+635104%2C+Krishnagiri%2C+Tamil+Nadu%2C+India,12.547561,78.332441,arcgis,Government College of Engineering,resolved
46,Krishnagiri,74,"Government Polytechnic College,Krishnagiri-",635001,"Government Polytechnic College,Krishnagiri- 635001","Government Polytechnic College,Krishnagiri- 635001, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2CKrishnagiri-+635001%2C+Tamil+Nadu%2C+India,12.533738,78.245602,arcgis,Government Polytechnic College,resolved
47,Krishnagiri,75,"Government Polytechnic College, Uthangarai",-635207.,"Government Polytechnic College, Uthangarai -635207.","Government Polytechnic College, Uthangarai -635207., Krishnagiri, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Uthangarai+-635207.%2C+Krishnagiri%2C+Tamil+Nadu%2C+India,12.533738,78.245602,arcgis,Government Polytechnic College,resolved
48,Krishnagiri,76,Government Polytechnic College,"Kelamangalam, (Opp. To Model School, Bodichipalli), Denkanikottai Tk, Krishnagiri Dt, 635113.","Government Polytechnic College, Kelamangalam, (Opp. To Model School, Bodichipalli), Denkanikottai Tk, Krishnagiri Dt 635113.","Government Polytechnic College, Kelamangalam, (Opp. To Model School, Bodichipalli), Denkanikottai Tk, Krishnagiri Dt 635113., Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Kelamangalam%2C+%28Opp.+To+Model+School%2C+Bodichipalli%29%2C+Denkanikottai+Tk%2C+Krishnagiri+Dt+635113.%2C+Tamil+Nadu%2C+India,13.0936722,80.2470185,arcgis,Government Polytechnic College,resolved
49,Madurai,31,Tamilnadu Government Polytechnic College,Madurai-625011,"Tamilnadu Government Polytechnic College, Madurai-625011","Tamilnadu Government Polytechnic College, Madurai-625011, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Tamilnadu+Government+Polytechnic+College%2C+Madurai-625011%2C+Tamil+Nadu%2C+India,9.909004,78.108556,arcgis,Govrnment Girls Polytechnic College,resolved
50,Madurai,32,Thiagarajar College of Engineering,"Thirupparankundram, Madurai, 625015","Thiagarajar College of Engineering, Thirupparankundram, Madurai, 625015","Thiagarajar College of Engineering, Thirupparankundram, Madurai, 625015, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Thiagarajar+College+of+Engineering%2C+Thirupparankundram%2C+Madurai%2C+625015%2C+Tamil+Nadu%2C+India,9.8855523,78.0794992,arcgis,Thyagarajan Engineering College,resolved
51,Madurai,77,Government Polytechnic College For,"Women, Madurai -625011","Government Polytechnic College For Women, Madurai -625011","Government Polytechnic College For Women, Madurai -625011, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+For+Women%2C+Madurai+-625011%2C+Tamil+Nadu%2C+India,9.909004,78.108556,arcgis,Govrnment Girls Polytechnic College,resolved
52,Madurai,78,Government Polytechnic College Melur-,625109,Government Polytechnic College Melur- 625109,"Government Polytechnic College Melur- 625109, Madurai, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+Melur-+625109%2C+Madurai%2C+Tamil+Nadu%2C+India,9.960251,78.415888,arcgis,Government Polytechnic College,resolved
53,Madurai,79,Government Polytechnic College,Usilampatti-625537,"Government Polytechnic College, Usilampatti-625537","Government Polytechnic College, Usilampatti-625537, Madurai, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Usilampatti-625537%2C+Madurai%2C+Tamil+Nadu%2C+India,9.960251,78.415888,arcgis,Government Polytechnic College,resolved
54,Madurai,80,Government Polytechnic College,"Chekkanurani, Madurai","Government Polytechnic College, Chekkanurani, Madurai","Government Polytechnic College, Chekkanurani, Madurai, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Chekkanurani%2C+Madurai%2C+Tamil+Nadu%2C+India,9.960251,78.415888,arcgis,Government Polytechnic College,resolved
55,Madurai,81,Anna University Regional Campus Madurai,"Keelakuildi, Madurai - 625019","Anna University Regional Campus Madurai, Keelakuildi, Madurai - 625019","Anna University Regional Campus Madurai, Keelakuildi, Madurai - 625019, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Anna+University+Regional+Campus+Madurai%2C+Keelakuildi%2C+Madurai+-+625019%2C+Tamil+Nadu%2C+India,9.93291,78.069873,arcgis,"625019, Madurai South, Tamil Nadu",resolved
56,Mayiladuthurai,52,Srinivasa Subbaraya Polytechnic College,"Puthur, Sirkali, Mayiladuthurai District-, 609108","Srinivasa Subbaraya Polytechnic College, Puthur, Sirkali, Mayiladuthurai District- 609108","Srinivasa Subbaraya Polytechnic College, Puthur, Sirkali, Mayiladuthurai District- 609108, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Srinivasa+Subbaraya+Polytechnic+College%2C+Puthur%2C+Sirkali%2C+Mayiladuthurai+District-+609108%2C+Tamil+Nadu%2C+India,11.3303196,79.7189302,arcgis,"609108, Sirkazhi, Tamil Nadu",resolved
