RANK,COUNT
24532A,1
24627A,1
24718A,1
24725A,1
25103A,1
2517A,1
25240A,1
25365A,1
25368A,1
25376A,1
25376C,1
25416A,1
2542A,1
25433A,1
25474A,1
2548A,1
25670A,1
25732A,1
25936A,1
25992A,1
26024A,1
26179A,1
2622A,1
26236A,1
26237A,1
26396A,1
26439A,1
2645A,1
26495A,1
26548A,1
26599A,1
26620A,1
26635A,1
26670A,1
26757A,1
26803A,1
26871A,1
26896A,1
26941A,1
27243A,1
27266A,1
27506A,1
27528A,1
27599A,1
27744A,1
27868A,1
27936A,1
27955A,1
2799A,1
28058A,1
28086A,1
28108A,1
28206A,1
28303A,1
28316A,1
28337A,1
28484A,1
28593A,1
28594A,1
28696A,1
28731A,1
28776A,1
28860A,1
2893A,1
2896A,1
29002A,1
29012A,1
29083A,1
29135A,1
29154A,1
29207A,1
29209A,1
29292A,1
29318A,1
29373A,1
29417A,1
29555A,1
2974A,1
29764A,1
30014A,1
30056A,1
30136A,1
30267A,1
30284A,1
30298A,1
30365A,1
30425A,1
30501A,1
30548A,1
30606A,1
30669A,1
30733A,1
30864A,1
30865A,1
30884A,1
30938A,1
31049A,1
3115A,1
31189A,1
31239A,2
31249A,1
31259A,1
31280A,1
31293A,1
31296A,1
31297A,1
31403A,1
31405A,1
31519A,1
31529A,1
31687A,1
31730A,1
32043A,1
32077A,1
32089A,1
32133A,1
32139A,1
32241A,1
32419A,1
32525A,1
32546A,1
32790A,1
32812A,1
32871A,1
32892A,1
32905A,1
33293A,1
33477A,1
33487A,1
33494A,1
33580A,1
33756A,1
33873A,1
33919A,1
33923A,1
33996A,1
34035A,1
34080A,1
34117A,1
3421A,1
3426A,1
34734A,1
34812A,1
3481A,1
34839A,1
34912A,1
34957A,1
35024A,1
35038A,1
35087A,1
35156A,1
3524A,1
35257A,1
35335A,1
35480A,1
35491A,1
35581A,1
35783A,1
35867A,1
358A,1
35999A,1
36033A,1
36120A,1
36124A,1
36276A,1
36352A,1
36384A,1
36396A,1
36468A,1
36535B,1
36678A,1
36978A,1
37305A,1
3730A,1
3733A,1
37481A,1
37712A,1
37807A,1
37906A,1
38002A,1
38106A,1
382A,1
38380A,1
38472A,1
38543A,1
38819A,1
38890A,1
38956A,1
38965A,1
39070A,1
39074A,1
39148A,1
39157A,1
39277A,1
39438A,1
394A,1
39507A,1
39734A,1
39842A,1
39850A,1
39930A,1
40012A,1
4017A,1
40286A,1
402A,1
40782A,1
40849A,1
41207A,1
41291A,1
41385A,1
41628A,1
41629A,1
41869A,1
42116A,1
42182A,1
42505A,1
4262A,1
43085A,1
43350A,1
43414A,1
43453A,1
43613A,1
43629A,1
43696A,1
43858A,1
43883A,1
43979A,1
44131A,1
44135A,1
44141A,1
44147A,1
44178A,1
44237A,1
4431A,1
44408A,1
44689A,1
44712A,1
4481A,1
44844A,1
44863A,1
44886A,1
44949A,1
4548A,1
4571A,1
45857A,1
45957A,1
45977A,1
46054A,1
46151A,1
46446A,1
46773A,1
46824A,1
46975A,1
46997A,1
47007A,1
47150A,1
47157A,1
47178A,1
47229A,1
47315A,1
47356A,1
47372A,1
47483A,1
47648A,1
4764A,1
4774A,1
47858A,1
4788A,1
47916A,1
47961A,1
48157A,1
48325A,1
48626A,1
48770A,1
48879A,1
48901A,1
48930A,1
49043A,1
49067A,1
4906A,1
4912A,1
49189A,1
49252A,1
49256A,1
49348A,1
4967A,1
49772A,1
49774A,1
4983A,1
49866A,1
49910A,1
5019A,1
50291A,1
50327A,1
50370A,1
5070A,1
50717A,1
50834A,1
5085A,1
50875A,1
51035A,1
51046A,1
5128A,1
51627A,1
51740A,1
51748A,1
51760A,1
5185A,1
51861A,1
51900A,1
51985A,1
52036A,1
52147A,1
52400A,1
5259A,1
52673A,1
52829A,1
53058A,1
53328A,1
53716A,1
53891A,1
54154A,1
54319A,1
5436A,1
54397A,1
5445A,1
5449B,1
54935A,1
5493A,1
5517A,1
5526A,1
55344A,1
55409A,1
55487A,1
55642A,1
56538A,1
5667A,1
5671A,1
5680A,1
56901A,1
57014A,1
5713A,1
5729A,1
57302A,1
57316A,1
57399A,1
5742A,1
57430A,1
57629A,1
57857A,1
579A,1
58021A,1
58092A,1
58184A,1
5822A,1
58294A,1
58348A,1
58402A,1
58410A,1
58475A,1
58663A,1
58678A,1
58708A,1
58716A,1
58751A,1
5888A,1
58950A,1
5895A,1
59043A,1
5906A,1
59366A,1
59448A,1
59504A,1
59588A,1
59880A,1
59884A,1
59964A,1
60285A,1
60303A,1
6035A,1
60375A,1
60637A,1
60685A,1
6068A,1
61105A,1
61109A,1
61150A,1
61155A,1
61306A,1
61431A,1
61466A,1
61470A,1
61543A,1
61565A,1
6182A,1
618A,1
6197A,1
62065A,1
62127A,1
62168A,1
62288A,1
62602A,1
62804A,1
62822A,1
6290A,1
62A,1
63006A,1
63386A,1
63419A,1
634A,1
63593A,1
63883A,1
63920A,1
64029A,1
6404A,1
64134A,1
64202A,1
64214A,1
64255A,1
64267A,1
64413A,1
64555A,1
6478A,1
64823A,1
64887A,1
65141A,1
65203A,1
6533A,1
65398A,1
65459A,1
65484A,1
65499A,1
654A,1
65510A,1
65542A,1
65599A,1
65740A,1
65742A,1
6602A,1
66217A,1
66477A,1
6650A,1
6656A,1
66684A,1
67000A,1
6724A,1
67299A,1
67550A,1
6763A,1
6785A,1
67874A,1
678A,1
68390A,1
68415A,1
68416A,1
6869A,2
68809A,1
68947A,1
6903A,1
6909A,2
69117A,1
69412A,1
69625A,1
69636A,1
70004A,1
7000A,1
7002A,1
70114A,1
7039A,1
70421A,1
70437A,1
70511A,1
7059A,1
7059B,1
70699A,1
70983A,1
71158A,1
71280A,1
7143A,1
71709A,2
71824A,1
71871A,1
72055A,1
72206A,1
72258A,1
72298A,1
72493A,1
72502A,1
7251A,1
72673A,1
72717A,1
72730A,1
72850A,1
73102A,1
73430A,1
7357A,1
7375A,1
73894A,1
73953A,1
73992A,1
74129A,1
74138A,1
74181A,1
74204A,1
74223A,1
74265A,1
74491A,1
74670A,1
74798A,1
7480A,1
75002A,1
75083A,1
75087A,1
75168A,1
75266A,1
75336A,1
75372A,1
75518A,1
76066A,1
76117A,1
76423A,1
76539A,1
76621A,1
76637A,1
76781A,1
76796A,1
7683A,1
76898A,1
76899A,1
76962A,1
76966A,1
7696A,1
76980A,1
7710A,1
77332A,1
77458A,1
77502A,1
77600A,1
77735A,1
7779A,1
7795A,1
78089A,1
78340A,1
78492A,1
78598A,1
7878A,1
7892A,1
78948A,1
78949A,1
78978A,1
7897B,1
7906A,1
7909A,1
79205A,1
79240A,1
79272A,1
7930A,1
79349A,1
79387A,1
79533A,1
79548A,1
79806A,1
80000A,1
80062A,1
80276A,1
80277A,1
80425A,1
8044A,1
80470A,1
80478A,1
80583A,1
80600A,1
80700A,1
80895A,1
80999A,1
81100A,1
8114A,1
81407A,1
81573A,1
8192A,1
81949A,1
82221A,1
82368A,1
82482A,1
82646A,1
82672A,1
82851A,1
8294A,1
8299A,1
83247A,1
83353A,1
83360A,1
83417A,1
83442A,1
83616A,1
8361A,1
83641A,1
836A,1
83730A,2
83849A,1
83919A,1
84153A,1
84354A,1
84520A,1
84706A,1
8470A,1
84842A,1
84937A,1
85184A,1
8543A,1
85695A,1
86072A,1
86074A,1
86092A,1
86298A,1
86575A,1
8664A,1
8691A,1
8715A,1
87167A,1
87260A,1
87265A,1
87374A,1
87577A,1
87667A,1
87696A,1
8769A,1
87814A,1
8784A,1
8795A,1
87971A,1
88350A,1
88601A,1
88645A,1
88723A,1
88747A,1
88775A,1
88779A,1
8888A,1
89014A,1
89229A,1
89305A,1
8930A,1
89325A,1
894A,1
89506A,1
8968A,1
89835A,1
89887A,1
8988A,1
89923A,1
90093A,1
90240A,1
90375A,1
9076A,1
9092A,1
91004A,1
91379A,1
91456A,1
9147A,1
92086A,1
92110A,1
92135A,1
9224A,1
92255A,1
92268A,1
92286A,1
9246A,1
92574A,1
9279A,1
93153A,1
9323A,1
93744A,1
93751A,1
94075A,1
94206A,1
94318A,1
94482A,1
94556A,1
94809A,1
948A,1
9496A,1
95098A,1
95185A,1
95555A,1
95668A,1
95837A,1
95934A,1
9603A,1
96180A,1
96268A,1
96359A,1
9639A,1
96491A,1
96849A,1
97020A,1
97086A,1
9718A,1
97369A,1
97997A,1
9800A,1
9877A,1
98783A,1
9881A,1
9890A,1
98941A,1
98998A,1
99016A,1
99187A,1
9918A,1
99346A,1
99368A,1
99535A,1
99646A,1
99691A,1
99760A,1
