rank,college_code,college_name,district,composite_score,selectivity_score,academic_quality_score,branch_strength_score,institutional_quality_score,web_reputation_score,trend_score
93,1226,"P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502",,51.7888,51.7008,52.6404,50.2522,33.1977,50.0,89.5833
94,1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",,51.7774,49.0945,51.0876,47.6881,77.1802,50.0,45.4167
95,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",,51.7287,47.3557,49.0493,39.5303,94.5,50.0,67.0833
96,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",,51.6761,51.0642,51.3139,52.139,53.7093,45.3938,64.1667
97,1303,"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur, Chengalpattu District 603103",,51.6243,50.027,49.1549,52.3594,84.3023,50.0,22.0833
98,3805,"Dhanalakshmi Srinivasan Engineering College (Autonomous), Thuraiyur Road, Perambalur District 621212",,51.5274,47.8445,49.8777,47.9409,83.4651,52.1312,44.1667
99,2628,"Paavai College of Engineering, NH-7, Pachal Post, Namakkal District 637018",,51.4514,52.5744,52.8999,51.9113,41.3256,50.0,50.0
100,4969,"SCAD College of Engineering and Technology, Cheranmahadevi, Tirunelveli District 627414",,51.4496,52.6071,52.2417,52.635,42.0581,51.1943,50.0
101,1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road, Gowrivakkam, Chennai 600073",Chengalpattu,51.4427,49.4382,49.9586,49.648,66.8256,50.0,58.75
102,2648,"Annapoorana Engineering College (Autonomous), Sankari Main Road, NH-47, Periaseeragapadi, Salem District 636308",,51.3399,48.1472,46.8132,49.5449,89.7733,47.9431,52.5
103,2721,"Tamilnadu College of Engineering, Karumathampatti Post, Coimbatore District 641659",,51.3127,51.9753,51.919,51.8562,44.9884,52.1312,50.0
104,4669,"Thamirabharani Engineering College, Chathirampudukulam Village, Thatchanallur, Tirunelveli District 627358",,51.2821,50.5036,49.9571,51.0316,62.0465,50.0,50.8333
105,1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",,51.2756,49.0579,49.1074,49.0982,74.7674,52.1312,47.9167
106,2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village, Salem District 637304",,51.1167,48.398,48.4459,49.9528,84.3023,49.436,37.9167
107,5536,"Mangayarkarasi College of Engineering, First Street, Mangayarkarasi Nagar, Paravai, Madurai District 625402",,51.0983,51.4972,50.5469,50.9925,47.0465,50.0,62.5
108,4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi, Virudhunagar District 626005",,51.0934,49.4674,54.3467,28.3817,81.5174,49.6874,46.25
109,1605,"Idhaya Engineering College for Women, Chinnasalem, Kallakkurichi District 606201",,51.0811,52.5833,52.1824,53.3005,33.1977,52.1312,55.8333
110,1243,St. Lourdes Engineering College,,51.0574,51.9235,51.8434,52.0497,43.6628,50.0,50.0
111,3829,"M.A.M. College of Engineering and Technology, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli District 621105",,51.0496,49.8672,48.6525,51.8348,71.157,51.1943,39.5833
112,2636,"A V S Engineering College, Military Road, Ammapet, Salem District 636003",,51.006,50.1236,50.1902,50.4882,58.6628,52.1312,50.4167
113,1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062",,50.9719,51.5677,51.5533,53.3138,43.5233,50.0,50.0
114,1238,"G R T Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",,50.9411,50.281,48.8999,51.4727,66.6802,50.0,42.9167
115,1428,"E. S. College of Engineering and Technology, Chennai Trunk Road, Ayyankoilpattu, Villupuram District 605602",,50.9369,52.7963,52.7676,52.7813,33.1977,50.0,50.0
116,3019,"University College of Engineering, Panruti, Chennai-Kumbakonam Highway, Panikkankuppam, Panruti, Cuddalore District 607106",,50.8897,53.634,54.2964,52.4915,20.814,50.0,53.75
117,1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",,50.8618,51.8465,51.9212,50.4169,43.6628,50.0,50.0
118,1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District 635751",,50.8344,52.6957,52.6114,52.6758,33.1977,50.0,50.0
119,2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408",,50.7977,48.8589,50.222,49.5546,79.2442,50.0,20.8333
120,2623,"Mahendra College of Engineering, Attur Road, Minnampalli, Valapady, Salem District 636106",,50.7941,51.3653,51.2319,50.8889,26.6047,50.0,91.25
121,4954,"Dr. Sivanthi Aditanar College of Engineering, Tiruchendur, Thoothukudi District 628215",,50.7244,50.0777,52.021,48.4396,47.0058,50.0,60.4167
122,2611,"Paavai Engineering College (Autonomous) , NH-7, Pachal Post, Namakkal District 637018",,50.6883,48.0792,50.9836,44.2217,58.6628,50.0,75.4167
123,2625,"The Kavery Engineering College, M Kalipatti Post, Mecheri, Salem District 634456",,50.6284,50.0411,50.0511,50.3932,44.7791,50.0,74.1667
124,4965,"P S R Engineering College (Autonomous), Appayanaickenpatti, Sevalpatty, Virudhunagar District 626140",,50.6015,47.8929,48.4624,46.5165,87.0233,50.0,33.3333
125,3812,"Mookambigai College of Engineering, Keeranur, Pudukkottai District 622502",,50.5643,52.4667,51.889,53.1998,33.1977,50.0,50.0
126,3825,"St. Joseph s College of Engineering and Technology, Elupatti Village, Rawaspatti Post, Thanjavur District 613403",,50.5178,53.2825,52.9797,53.4125,24.5814,50.0,48.75
127,2350,"Jairupaa College of Engineering, Thottiapalayam, Kathankanni Post, Kangayam, Tiruppur District 641 604",,50.4132,52.1612,52.148,52.0763,33.1977,50.0,50.0
128,1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi District 606201",,50.3771,52.4224,52.0318,52.6925,26.6047,50.0,59.1667
129,4966,"PET Engineering College, Vallioor Post, Tirunelveli District 627117",,50.3743,51.5642,50.7326,51.906,40.1047,50.0,53.3333
130,2639,"R P Sarathy Institute of Technology, Poosaripatty Village, Omalur Taluk, Salem District 636305",,50.287,48.7951,47.7813,50.6174,62.0465,47.4563,65.0
131,5912,"Pandian Saraswathi Yadav Engineering College, Thirumansolai Post, Sivagangai District 630 561",,50.2863,51.7619,51.7596,51.7662,38.7093,45.7512,50.0
132,2635,"CMS College of Engineering, Emapuram Post, Namakkal District 637003",,50.2752,52.3957,52.0194,52.9207,33.1977,45.3938,50.0
133,3857,"Meenakshi Ramaswamy Engineering College, Trichy Main Road, Thathanur, Udayarpalayam, Ariyalur District 621804",,50.2561,52.2659,52.4551,52.0851,28.5233,51.1943,50.0
